"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"DRUMHELLER EAST","51.445","-112.677","AB","-1.7","8",NA,"16.5","6","-22.9","3","",,NA,"",,NA,"","","",,NA,"452.1","0.0","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","-6.2","3",NA,"13.7","3","-33.7","0","",,NA,"12.3","3",NA,"","4","",,NA,"677.7","0.0","3023200"
"HUSSAR AGDM","51.183","-112.500","AB","-4.3","3",NA,"12.8","1","-24.7","2","",,NA,"25.3","3",NA,"","7","",,NA,"623.6","0.0","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","-4.8","1",NA,"13.6","0","-27.1","1","",,NA,"15.2","1",NA,"1.0","5","",,NA,"684.9","0.0","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","-6.0","1",NA,"11.4","1","-32.6","0","",,NA,"19.8","1",NA,"","6","",,NA,"720.6","0.0","3023740"
"LINDEN AGCM","51.619","-113.656","AB","-3.7","1",NA,"15.0","0","-28.7","1","",,NA,"11.4","5",NA,"","4","",,NA,"651.2","0.0","3023850"
"MORRIN AGDM","51.660","-112.675","AB","-3.8","0",NA,"13.9","0","-23.5","0","",,NA,"19.9","0",NA,"","5","",,NA,"676.7","0.0","3024668"
"OLDS AGDM","51.759","-114.085","AB","-5.6","7",NA,"13.7","7","-25.2","3","",,NA,"11.1","7",NA,"","4","",,NA,"566.3","0.0","3024925"
"OYEN AGDM","51.383","-110.350","AB","-5.9","14",NA,"17.0","7","-23.3","11","",,NA,"5.8","15",NA,"","1","",,NA,"405.9","0.0","3024965"
"POLLOCKVILLE AGDM","51.125","-111.705","AB","-2.9","0",NA,"16.6","0","-25.6","0","",,NA,"13.7","0",NA,"","5","",,NA,"647.7","0.0","3025243"
"PRENTISS","52.433","-113.600","AB","-5.1","1",NA,"12.7","1","-24.9","0","",,NA,"15.3","3",NA,"","6","",,NA,"691.6","0.0","3025297"
"RED DEER REGIONAL A","52.182","-113.894","AB","",,NA,"",,"",,"24.0","0",NA,"19.6","0",NA,"0.0","6","",,NA,"","","3025481"
"SCHULER AGDM","50.307","-110.091","AB","-2.1","1",NA,"18.7","1","-22.7","0","",,NA,"11.0","2",NA,"","4","",,NA,"604.4","0.0","3025768"
"SIBBALD WESTGARD","51.425","-110.146","AB","-3.1","2",NA,"17.5","2","-24.5","2","16.0","2",NA,"16.0","2",NA,"0.0","4","","",NA,"611.5","0.0","3025928"
"THREE HILLS","51.768","-113.206","AB","-3.8","1",NA,"14.5","1","-24.0","0","",,NA,"13.8","7",NA,"","4","",,NA,"655.3","0.0","3026479"
"SUNDRE A","51.778","-114.683","AB","-4.7","0",NA,"15.2","0","-28.1","0","",,NA,"15.1","0",NA,"0.0","4","",,NA,"705.1","0.0","3026KNQ"
"WIMBORNE AGCM","51.936","-113.591","AB","-4.3","1",NA,"14.1","0","-25.6","1","",,NA,"13.7","1",NA,"","4","",,NA,"667.7","0.0","3027582"
"AZURE","50.512","-114.013","AB","-2.0","1",NA,"15.6","0","-26.1","1","",,NA,"8.3","18",NA,"","1","",,NA,"601.3","0.0","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","-0.5","4",NA,"18.5","2","-19.9","2","",,NA,"11.3","5",NA,"","5","",,NA,"499.2","0.0","3030525"
"BARONS AGCM","50.026","-113.224","AB","-1.4","1",NA,"16.3","0","-27.4","1","",,NA,"16.6","1",NA,"","6","",,NA,"583.2","0.0","3030529"
"BASSANO AGCM","50.893","-112.465","AB","-2.1","1",NA,"17.7","0","-26.5","1","",,NA,"17.1","1",NA,"","5","",,NA,"604.1","0.0","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","-2.9","0",NA,"15.2","0","-26.6","0","",,NA,"3.8","26",NA,"","1","",,NA,"648.1","0.0","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","-2.3","4",NA,"16.9","4","-24.3","0","",,NA,"21.4","7",NA,"","6","",,NA,"547.2","0.0","3030720"
"BOW ISLAND","49.734","-111.450","AB","0.0","0",NA,"19.4","0","-24.6","0","",,NA,"11.6","0",NA,"","5","",,NA,"559.0","0.0","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","-0.1","1",NA,"19.1","0","-26.5","1","",,NA,"16.5","2",NA,"","6","",,NA,"541.8","0.0","3030772"
